dataset,category,run,stroke_count,num_svg_strokes,num_disconnected_strokes,disconnected_stroke_ratio,disconnected_stroke_percentage,num_disconnected_endpoints,disconnected_endpoint_ratio,threshold,samples_per_curve,svg_path
SDXL_normal,flower_5,normal_16_strokes,16,16,14,0.875,87.5,19,0.59375,10.0,100,SDXL_normal/flower_5/normal_16_strokes/final_svg.svg
SDXL_normal,flower_5,normal_24_strokes,24,24,16,0.6666666666666666,66.66666666666666,25,0.5208333333333334,10.0,100,SDXL_normal/flower_5/normal_24_strokes/final_svg.svg
SDXL_normal,flower_5,normal_32_strokes,32,32,16,0.5,50.0,23,0.359375,10.0,100,SDXL_normal/flower_5/normal_32_strokes/final_svg.svg
SDXL_normal,flower_7,normal_16_strokes,16,16,14,0.875,87.5,17,0.53125,10.0,100,SDXL_normal/flower_7/normal_16_strokes/final_svg.svg
SDXL_normal,flower_7,normal_24_strokes,24,24,18,0.75,75.0,26,0.5416666666666666,10.0,100,SDXL_normal/flower_7/normal_24_strokes/final_svg.svg
SDXL_normal,flower_7,normal_32_strokes,32,32,16,0.5,50.0,19,0.296875,10.0,100,SDXL_normal/flower_7/normal_32_strokes/final_svg.svg
SDXL_normal,flower_9,normal_16_strokes,16,16,16,1.0,100.0,26,0.8125,10.0,100,SDXL_normal/flower_9/normal_16_strokes/final_svg.svg
SDXL_normal,flower_9,normal_24_strokes,24,24,20,0.8333333333333334,83.33333333333334,28,0.5833333333333334,10.0,100,SDXL_normal/flower_9/normal_24_strokes/final_svg.svg
SDXL_normal,flower_9,normal_32_strokes,32,32,23,0.71875,71.875,30,0.46875,10.0,100,SDXL_normal/flower_9/normal_32_strokes/final_svg.svg
SDXL_normal,guitar_0,normal_16_strokes,16,16,10,0.625,62.5,12,0.375,10.0,100,SDXL_normal/guitar_0/normal_16_strokes/final_svg.svg
SDXL_normal,guitar_0,normal_24_strokes,24,24,16,0.6666666666666666,66.66666666666666,19,0.3958333333333333,10.0,100,SDXL_normal/guitar_0/normal_24_strokes/final_svg.svg
SDXL_normal,guitar_0,normal_32_strokes,32,32,7,0.21875,21.875,9,0.140625,10.0,100,SDXL_normal/guitar_0/normal_32_strokes/final_svg.svg
SDXL_normal,guitar_10,normal_16_strokes,16,16,7,0.4375,43.75,9,0.28125,10.0,100,SDXL_normal/guitar_10/normal_16_strokes/final_svg.svg
SDXL_normal,guitar_10,normal_24_strokes,24,24,5,0.20833333333333334,20.833333333333336,6,0.125,10.0,100,SDXL_normal/guitar_10/normal_24_strokes/final_svg.svg
SDXL_normal,guitar_10,normal_32_strokes,32,32,7,0.21875,21.875,7,0.109375,10.0,100,SDXL_normal/guitar_10/normal_32_strokes/final_svg.svg
SDXL_normal,guitar_12,normal_16_strokes,16,16,15,0.9375,93.75,20,0.625,10.0,100,SDXL_normal/guitar_12/normal_16_strokes/final_svg.svg
SDXL_normal,guitar_12,normal_24_strokes,24,24,16,0.6666666666666666,66.66666666666666,19,0.3958333333333333,10.0,100,SDXL_normal/guitar_12/normal_24_strokes/final_svg.svg
SDXL_normal,guitar_12,normal_32_strokes,32,32,9,0.28125,28.125,11,0.171875,10.0,100,SDXL_normal/guitar_12/normal_32_strokes/final_svg.svg
