dataset,category,run,stroke_count,num_svg_strokes,num_disconnected_strokes,disconnected_stroke_ratio,disconnected_stroke_percentage,num_disconnected_endpoints,disconnected_endpoint_ratio,threshold,samples_per_curve,svg_path
SDXL_normal,flower_1,normal_32_strokes,32,32,9,0.28125,28.125,10,0.15625,30.0,100,SDXL_normal/flower_1/normal_32_strokes/final_svg.svg
SDXL_normal,flower_5,normal_16_strokes,16,16,13,0.8125,81.25,13,0.40625,30.0,100,SDXL_normal/flower_5/normal_16_strokes/final_svg.svg
SDXL_normal,flower_5,normal_24_strokes,24,24,9,0.375,37.5,9,0.1875,30.0,100,SDXL_normal/flower_5/normal_24_strokes/final_svg.svg
SDXL_normal,flower_5,normal_32_strokes,32,32,7,0.21875,21.875,8,0.125,30.0,100,SDXL_normal/flower_5/normal_32_strokes/final_svg.svg
SDXL_normal,flower_7,normal_16_strokes,16,16,8,0.5,50.0,9,0.28125,30.0,100,SDXL_normal/flower_7/normal_16_strokes/final_svg.svg
SDXL_normal,flower_7,normal_24_strokes,24,24,5,0.20833333333333334,20.833333333333336,7,0.14583333333333334,30.0,100,SDXL_normal/flower_7/normal_24_strokes/final_svg.svg
SDXL_normal,flower_7,normal_32_strokes,32,32,7,0.21875,21.875,7,0.109375,30.0,100,SDXL_normal/flower_7/normal_32_strokes/final_svg.svg
SDXL_normal,flower_9,normal_16_strokes,16,16,11,0.6875,68.75,14,0.4375,30.0,100,SDXL_normal/flower_9/normal_16_strokes/final_svg.svg
SDXL_normal,flower_9,normal_24_strokes,24,24,11,0.4583333333333333,45.83333333333333,13,0.2708333333333333,30.0,100,SDXL_normal/flower_9/normal_24_strokes/final_svg.svg
SDXL_normal,flower_9,normal_32_strokes,32,32,10,0.3125,31.25,12,0.1875,30.0,100,SDXL_normal/flower_9/normal_32_strokes/final_svg.svg
SDXL_normal,guitar_0,normal_16_strokes,16,16,5,0.3125,31.25,6,0.1875,30.0,100,SDXL_normal/guitar_0/normal_16_strokes/final_svg.svg
SDXL_normal,guitar_0,normal_24_strokes,24,24,5,0.20833333333333334,20.833333333333336,5,0.10416666666666667,30.0,100,SDXL_normal/guitar_0/normal_24_strokes/final_svg.svg
SDXL_normal,guitar_0,normal_32_strokes,32,32,1,0.03125,3.125,1,0.015625,30.0,100,SDXL_normal/guitar_0/normal_32_strokes/final_svg.svg
SDXL_normal,guitar_10,normal_16_strokes,16,16,3,0.1875,18.75,4,0.125,30.0,100,SDXL_normal/guitar_10/normal_16_strokes/final_svg.svg
SDXL_normal,guitar_10,normal_24_strokes,24,24,1,0.041666666666666664,4.166666666666666,1,0.020833333333333332,30.0,100,SDXL_normal/guitar_10/normal_24_strokes/final_svg.svg
SDXL_normal,guitar_10,normal_32_strokes,32,32,5,0.15625,15.625,5,0.078125,30.0,100,SDXL_normal/guitar_10/normal_32_strokes/final_svg.svg
SDXL_normal,guitar_12,normal_16_strokes,16,16,9,0.5625,56.25,11,0.34375,30.0,100,SDXL_normal/guitar_12/normal_16_strokes/final_svg.svg
SDXL_normal,guitar_12,normal_24_strokes,24,24,5,0.20833333333333334,20.833333333333336,6,0.125,30.0,100,SDXL_normal/guitar_12/normal_24_strokes/final_svg.svg
SDXL_normal,guitar_12,normal_32_strokes,32,32,3,0.09375,9.375,3,0.046875,30.0,100,SDXL_normal/guitar_12/normal_32_strokes/final_svg.svg
SDXL_normal,guitar_3,normal_16_strokes,16,16,4,0.25,25.0,4,0.125,30.0,100,SDXL_normal/guitar_3/normal_16_strokes/final_svg.svg
SDXL_normal,guitar_3,normal_24_strokes,24,24,2,0.08333333333333333,8.333333333333332,4,0.08333333333333333,30.0,100,SDXL_normal/guitar_3/normal_24_strokes/final_svg.svg
SDXL_normal,guitar_3,normal_32_strokes,32,32,0,0.0,0.0,0,0.0,30.0,100,SDXL_normal/guitar_3/normal_32_strokes/final_svg.svg
SDXL_normal,guitar_7,normal_16_strokes,16,16,10,0.625,62.5,13,0.40625,30.0,100,SDXL_normal/guitar_7/normal_16_strokes/final_svg.svg
SDXL_normal,guitar_7,normal_24_strokes,24,24,1,0.041666666666666664,4.166666666666666,2,0.041666666666666664,30.0,100,SDXL_normal/guitar_7/normal_24_strokes/final_svg.svg
SDXL_normal,guitar_7,normal_32_strokes,32,32,2,0.0625,6.25,3,0.046875,30.0,100,SDXL_normal/guitar_7/normal_32_strokes/final_svg.svg
SDXL_normal,horse_10,normal_16_strokes,16,16,5,0.3125,31.25,6,0.1875,30.0,100,SDXL_normal/horse_10/normal_16_strokes/final_svg.svg
SDXL_normal,horse_10,normal_24_strokes,24,24,3,0.125,12.5,4,0.08333333333333333,30.0,100,SDXL_normal/horse_10/normal_24_strokes/final_svg.svg
SDXL_normal,horse_10,normal_32_strokes,32,32,3,0.09375,9.375,3,0.046875,30.0,100,SDXL_normal/horse_10/normal_32_strokes/final_svg.svg
SDXL_normal,horse_14,normal_16_strokes,16,16,2,0.125,12.5,2,0.0625,30.0,100,SDXL_normal/horse_14/normal_16_strokes/final_svg.svg
SDXL_normal,horse_14,normal_24_strokes,24,24,3,0.125,12.5,4,0.08333333333333333,30.0,100,SDXL_normal/horse_14/normal_24_strokes/final_svg.svg
SDXL_normal,horse_14,normal_32_strokes,32,32,1,0.03125,3.125,1,0.015625,30.0,100,SDXL_normal/horse_14/normal_32_strokes/final_svg.svg
SDXL_normal,horse_3,normal_16_strokes,16,16,5,0.3125,31.25,6,0.1875,30.0,100,SDXL_normal/horse_3/normal_16_strokes/final_svg.svg
SDXL_normal,horse_3,normal_24_strokes,24,24,5,0.20833333333333334,20.833333333333336,6,0.125,30.0,100,SDXL_normal/horse_3/normal_24_strokes/final_svg.svg
SDXL_normal,horse_3,normal_32_strokes,32,32,7,0.21875,21.875,9,0.140625,30.0,100,SDXL_normal/horse_3/normal_32_strokes/final_svg.svg
SDXL_normal,horse_8,normal_16_strokes,16,16,6,0.375,37.5,6,0.1875,30.0,100,SDXL_normal/horse_8/normal_16_strokes/final_svg.svg
SDXL_normal,horse_8,normal_24_strokes,24,24,0,0.0,0.0,0,0.0,30.0,100,SDXL_normal/horse_8/normal_24_strokes/final_svg.svg
SDXL_normal,horse_8,normal_32_strokes,32,32,3,0.09375,9.375,4,0.0625,30.0,100,SDXL_normal/horse_8/normal_32_strokes/final_svg.svg
SDXL_normal,horse_9,normal_16_strokes,16,16,2,0.125,12.5,2,0.0625,30.0,100,SDXL_normal/horse_9/normal_16_strokes/final_svg.svg
SDXL_normal,horse_9,normal_24_strokes,24,24,1,0.041666666666666664,4.166666666666666,1,0.020833333333333332,30.0,100,SDXL_normal/horse_9/normal_24_strokes/final_svg.svg
SDXL_normal,horse_9,normal_32_strokes,32,32,0,0.0,0.0,0,0.0,30.0,100,SDXL_normal/horse_9/normal_32_strokes/final_svg.svg
SDXL_normal,house_15,normal_16_strokes,16,16,9,0.5625,56.25,12,0.375,30.0,100,SDXL_normal/house_15/normal_16_strokes/final_svg.svg
SDXL_normal,house_15,normal_24_strokes,24,24,5,0.20833333333333334,20.833333333333336,6,0.125,30.0,100,SDXL_normal/house_15/normal_24_strokes/final_svg.svg
SDXL_normal,house_15,normal_32_strokes,32,32,7,0.21875,21.875,10,0.15625,30.0,100,SDXL_normal/house_15/normal_32_strokes/final_svg.svg
SDXL_normal,house_21,normal_16_strokes,16,16,3,0.1875,18.75,3,0.09375,30.0,100,SDXL_normal/house_21/normal_16_strokes/final_svg.svg
SDXL_normal,house_21,normal_24_strokes,24,24,3,0.125,12.5,3,0.0625,30.0,100,SDXL_normal/house_21/normal_24_strokes/final_svg.svg
SDXL_normal,house_21,normal_32_strokes,32,32,3,0.09375,9.375,3,0.046875,30.0,100,SDXL_normal/house_21/normal_32_strokes/final_svg.svg
SDXL_normal,house_24,normal_16_strokes,16,16,7,0.4375,43.75,7,0.21875,30.0,100,SDXL_normal/house_24/normal_16_strokes/final_svg.svg
